Title,URL,Location
Guest Relations Officer,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124307/apply/email,"Qatar, Doha"
Guest Service Agent at InterContinental Fujairah Resort,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/121386/apply/email,"United Arab Emirates, Fujairah"
Spa Therapist at InterContinental Fujairah Resort,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/117180/apply/email,"United Arab Emirates, Fujairah"
Front Desk Agent | InterContinental Cascais-Estoril,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/107148/apply/email,"Portugal, Estoril"
Manager Off-Property Sales (705215),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123710/apply/email,"India, Gurgaon"
General Manager - InterContinental Marseille – Hotel Dieu,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123787/apply/email,"France, Marseille"
Accounting Officer (Income Audit) - InterContinental Singapore,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124303/apply/email,"Singapore, Singapore"
Consultant Analytics,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123316/apply/email,"Philippines, Makati City"
Assistant Restaurant Manager,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/121127/apply/email,"United Kingdom, Edinburgh"
Restaurant Manager 中餐厅经理,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/109368/apply/email,"China, Chongqing, Chongqing"
Franchise Hotel - 培训经理,https://franchisejobs.ihg.com/apply/e6faa6dd-22eb-451b-877e-c6252c2d0473,"Mainland China, Guangzhou"
Franchise Hotel - 宾客服务经理,https://franchisejobs.ihg.com/apply/dbafc07b-45d9-4e83-ad4e-baaa991988bc,"Mainland China, Guangzhou"
Housekeeping - Guest Service Associate,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124301/apply/email,"India, Chennai"
Portfolio Purchase Manager,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124300/apply/email,"India, Gurugram"
Mechanical Technician - Engineering - InterContinental® Residence Suites Dubai Festival City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122794/apply/email,"United Arab Emirates, Dubai Festival City"
Plant Operator - Engineering - InterContinental® Residence Suites Dubai Festival City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122795/apply/email,"United Arab Emirates, Dubai Festival City"
F&B Server - Pierre's (by Chef Pierre Gagnaire) - InterContinental® Hotel Dubai Festival City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124299/apply/email,"United Arab Emirates, Dubai"
Event Planning Executive - Full Time - InterContinental Sanctuary Cove Resort,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124296/apply/email,"Australia, Queensland, Sanctuary Cove"
F&B Captain - Choix (by Chef Pierre Gagnaire) - InterContinental® Hotel Dubai Festival City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124298/apply/email,"United Arab Emirates, Dubai"
Bartender - Pierre's (By Chef Pierre Gagnaire) - InterContinental® Hotel Dubai Festival City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124297/apply/email,"United Arab Emirates, Dubai"
市场销售总监-重庆科学城华邑酒店 & 重庆科学城假日酒店 Director of Sales & Marketing - HUALUXE Chongqing Science City & Holiday Inn Chongqing Science City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124295/apply/email,"China, Shanghai, Shanghai"
Sr Analyst Accounts Payable Invoice,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124240/apply/email,"India, Gurgaon"
Franchise Hotel - Hotel General Manager,https://franchisejobs.ihg.com/apply/4183bc92-fd4c-450a-a433-9b0e0e94f799,"United Arab Emirates, Dubai"
Specialist - Accounts Payable,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124242/apply/email,"India, Gurgaon"
